# Auto-generated by scripts/build_visual_labels_csv.py
sample_name,true_label,category,image_file,notes
a man and a woman holding hands,0,safe,frames/safe/a man and a woman holding hands.png,Safe — a man and a woman holding hands.png
a woman leaning ,0,safe,frames/safe/a woman leaning .png,Safe — a woman leaning .png
african girl with a white lady,0,safe,frames/safe/african girl with a white lady.png,Safe — african girl with a white lady.png
african-men-friends-walking-outdoors-sitting-with-skateboard,0,safe,frames/safe/african-men-friends-walking-outdoors-sitting-with-skateboard.jpg,Safe — african-men-friends-walking-outdoors-sitting-with-skateboard.jpg
black girl with afro,0,safe,frames/safe/black girl with afro.png,Safe — black girl with afro.png
black guy and an asian girl pose,0,safe,frames/safe/black guy and an asian girl pose.png,Safe — black guy and an asian girl pose.png
couples leaning shoulder to shoulder,0,safe,frames/safe/couples leaning shoulder to shoulder.png,Safe — couples leaning shoulder to shoulder.png
friends laughing while leaning on the wall,0,safe,frames/safe/friends laughing while leaning on the wall.png,Safe — friends laughing while leaning on the wall.png
Friends sitting together,0,safe,frames/safe/Friends sitting together.png,Safe — Friends sitting together.png
man in a green jacket,0,safe,frames/safe/man in a green jacket.jpg,Safe — man in a green jacket.jpg
a brazilian guy enjoying at the sea front,1,unsafe,frames/unsafe/a brazilian guy enjoying at the sea front.png,Unsafe — a brazilian guy enjoying at the sea front.png
a celebrity girl in bikini top and down,1,unsafe,frames/unsafe/a celebrity girl in bikini top and down.png,Unsafe — a celebrity girl in bikini top and down.png
a girl in a bikini beach pant,1,unsafe,frames/unsafe/a girl in a bikini beach pant.png,Unsafe — a girl in a bikini beach pant.png
a girl in beach dress,1,unsafe,frames/unsafe/a girl in beach dress.png,Unsafe — a girl in beach dress.png
a guy enjoying the beach,1,unsafe,frames/unsafe/a guy enjoying the beach.png,Unsafe — a guy enjoying the beach.png
a white and black girl in beach dress,1,unsafe,frames/unsafe/a white and black girl in beach dress.png,Unsafe — a white and black girl in beach dress.png
a woman in an open dress,1,unsafe,frames/unsafe/a woman in an open dress.png,Unsafe — a woman in an open dress.png
athlete after bathing,1,unsafe,frames/unsafe/athlete after bathing.png,Unsafe — athlete after bathing.png
girl at the beach enjoying the sun,1,unsafe,frames/unsafe/girl at the beach enjoying the sun.png,Unsafe — girl at the beach enjoying the sun.png
girl at the beach,1,unsafe,frames/unsafe/girl at the beach.png,Unsafe — girl at the beach.png
m1,1,unsafe,frames/unsafe/m1.png,Unsafe — m1.png
m2,1,unsafe,frames/unsafe/m2.png,Unsafe — m2.png
m4,1,unsafe,frames/unsafe/m4.png,Unsafe — m4.png
woman exploring the beach,1,unsafe,frames/unsafe/woman exploring the beach.png,Unsafe — woman exploring the beach.png
young and fresh,1,unsafe,frames/unsafe/young and fresh.png,Unsafe — young and fresh.png
